column1,column2,column3,column4,column5,column6,column7
0.131956003, 0.697628943, 0.521029679, 0.519663201, 0.074543982, 0.00812667, 0.834446677
0.548815284, 0.115109084, 0.184234376, 0.469408577, 0.631694511, 0.655456456, 0.513707919 
0.099546754, 0.974077361, 0.820748035, 0.885839317, 0.104996933, 0.783292543, 0.406777379 
0.400166724, 0.323224885, 0.584097484, 0.950650875, 0.672627735, 0.258869667, 0.794436822 
0.249536518, 0.533864564, 0.14775313, 0.181830696, 0.599053791, 0.312919822, 0.243932678 
0.842232254, 0.445311813, 0.301740189, 0.756778483, 0.740725884, 0.313937385, 0.18941116 
0.866542731, 0.583194747, 0.442520479, 0.797158621, 0.27759775, 0.277897652, 0.018143136 
0.795268954, 0.391102299, 0.869142371, 0.064278484, 0.698630198, 0.010529858, 0.838122847 
0.316559277, 0.14982661, 0.831442337, 0.297509689, 0.972333728, 0.787881428, 0.71391613 
0.9454477, 0.855143543, 0.19678918, 0.654419178, 0.084964684, 0.452634839, 0.895025215 
0.125439417, 0.338059085, 0.318495942, 0.495598559, 0.466272504, 0.056236372, 0.497827084 
0.147901076, 0.854143027, 0.970341425, 0.281635569, 0.2659571, 0.78122558, 0.748488158
0.569811639, 0.178560341, 0.450049218, 0.524379705, 0.264745443, 0.189436392, 0.993253158 
0.628015823, 0.021652786, 0.954943509, 0.366791632, 0.688825525, 0.184918349, 0.63500811 
                 
